상호명;분류;설명;위치;주소(신,구);리뷰수;태그
미즈컨테이너 대구대 본점;이탈리아음식;바베큐 플레이트, 샐러드, 스파게티 전문 레스토랑.;[35.9013531, 128.8469174];['경북 경산시 진량읍 대구대로 201 대구대학교경산캠퍼스', '경북 경산시 진량읍 내리리 15'];359;['떠먹는피자', '샐러드파스타', '녹차아이스크림', '시끌벅적한', '드라이브']
안동하회마을;한식;;[35.896693, 128.849814];['경북 경산시 진량읍 대구대로 248', '경북 경산시 진량읍 내리리 100-5'];35;['간고등어', '찜닭', '경치', '데이트', '야경']
카페무화;카페,디저트;;[35.8965561, 128.8512019];['경북 경산시 진량읍 대구대로 252-10 2층', '경북 경산시 진량읍 내리리 94-17'];19;['카페', '친구랑']
빨봉분식 대구대점;종합분식;경상북도 경산시 진량읍 내리리 위치, 분식집.;[35.897145, 128.846384];['경북 경산시 진량읍 대구대로 216-1', '경북 경산시 진량읍 내리리 451-17'];15;['치즈떡볶이', '연탄불고기', '만두', '덮밥', '돈가스']
집으로돼지 대구대본점;돼지고기구이;경상북도 경산시 진량읍 내리리 위치, 삼겹살 도시락 전문점.;[35.8948256, 128.8511919];['경북 경산시 진량읍 대구대로 290-7', '경북 경산시 진량읍 내리리 82-6'];11;['삼겹살', '도시락', '김치찌개', '혼자']
쓰리에프;요리주점;;[35.8967135, 128.8493696];['경북 경산시 진량읍 대구대로 244', '경북 경산시 진량읍 내리리 100-7'];9;[]
나잇앤데이;카페,디저트;;[35.896947, 128.8461375];['경북 경산시 진량읍 대구대로 214', '경북 경산시 진량읍 내리리 451-20'];8;[]
디나폴리카페;피자;;[35.8945279, 128.8518532];['경북 경산시 진량읍 대구대로 290-1', '경북 경산시 진량읍 내리리 72-73'];8;[]
더오니기리 경산대구대점;오니기리;일본식 수제 삼각김밥 전문점.;[35.8967902, 128.8491824];['경북 경산시 진량읍 대구대로 240', '경북 경산시 진량읍 내리리 108-5'];6;[]
투존치킨 대구대점;치킨,닭강정;;[35.9012497, 128.833879];['경북 경산시 진량읍 대구대로 91-2', '경북 경산시 진량읍 상림리 228-3'];6;[]
핸즈커피 대구대점;카페;아메리카노, 카푸치노, 카페라떼, 빙수 등 메뉴 안내.;[35.89679, 128.849191];['경북 경산시 진량읍 대구대로 240', '경북 경산시 진량읍 내리리 108-5'];5;[]
막구어;육류,고기요리;막창, 삼겹살, 차돌박이 등 막창 구이 전문점.;[35.8955664, 128.8519425];['경북 경산시 진량읍 대구대로 278', '경북 경산시 진량읍 내리리 66-2'];5;['막창', '삼겹살', '돼지갈비', '김치말이국수']
뉴니크;퓨전음식;;[35.8968804, 128.8511038];['경북 경산시 진량읍 대구대로 252-7', '경북 경산시 진량읍 내리리 94-4'];5;['초밥']
우당탕반점;중식당;;[35.89689, 128.850538];['경북 경산시 진량읍 대구대로 252-1', '경북 경산시 진량읍 내리리 94-7'];5;[]
덩거러스;양식;;[35.8967525, 128.8499507];['경북 경산시 진량읍 대구대로 250', '경북 경산시 진량읍 내리리 100-3'];5;['크림파스타', '피자']
비사이드;요리주점;대구대 정문 위치, 보드카, 칵테일, 리큐르 전문점, 다트게임 완비.;[35.8967498, 128.8491622];['경북 경산시 진량읍 대구대로 240 지하1층 비사이드(B_side)', '경북 경산시 진량읍 내리리 108-5'];5;[]
봉구스밥버거 대구대점;분식;밥버거 전문점.;[35.896678, 128.850397];['경북 경산시 진량읍 대구대로 252-2', '경북 경산시 진량읍 내리리 94-8'];4;[]
피자에땅 하양점;피자;;[35.902249, 128.831775];['경북 경산시 진량읍 대구대로 67', '경북 경산시 진량읍 상림리 188-35'];4;[]
커피센티멘탈;카페,디저트;큐그레이더가 볶는 신선한 원두;[35.8968667, 128.8505389];['경북 경산시 진량읍 대구대로 252-1', '경북 경산시 진량읍 내리리 94-7'];4;[]
착한찜닭선;찜닭;경상북도 경산시 진량읍 내리리 소재 맛집, 착한찜닭 순살치즈찜닭 나쁜찜닭 착한정식 나쁜정식 등 메뉴소개;[35.8967499, 128.8491622];['경북 경산시 진량읍 대구대로 240', '경북 경산시 진량읍 내리리 108-5'];4;['찜닭', '커플']
홍대불고기;육류,고기요리;;[35.8969502, 128.846766];['경북 경산시 진량읍 대구대로 220', '경북 경산시 진량읍 내리리 451-8 2층'];3;[]
막다방;카페;경북 경산시 진량읍 위치, 커피 전문점, 마우로원두 안내.;[35.895401, 128.851994];['경북 경산시 진량읍 대구대로 280 예지하우스', '경북 경산시 진량읍 내리리 66-9'];3;[]
청춘을파는상회;한식;;[35.8965854, 128.8507504];['경북 경산시 진량읍 대구대로 252-6', '경북 경산시 진량읍 내리리 94-13'];2;[]
대학로솥단지삼겹살;돼지고기구이;;[35.896587, 128.851238];['경북 경산시 진량읍 대구대로 252-10', '경북 경산시 진량읍 내리리 94-17'];2;[]
상림각;중식당;;[35.9011803, 128.8334536];['경북 경산시 진량읍 대구대로 87', '경북 경산시 진량읍 상림리 229-1'];2;[]
청춘감성쌀핫도그 대구대학점;핫도그;;[35.90129, 128.842762];['경북 경산시 진량읍 대구대로 201 제2학생회관 2층', '경북 경산시 진량읍 내리리 15'];2;[]
투투두마리치킨;치킨,닭강정;진량읍에 위치한 치킨 전문점.;[35.9068216, 128.8426166];['', '경북 경산시 진량읍 경북 경산시 진량읍 내리리 194'];2;[]
라팡;베이커리;;[35.8968082, 128.8502943];['경북 경산시 진량읍 대구대로 252', '경북 경산시 진량읍 내리리 94-2'];2;[]
공룡밥통;종합분식;;[35.896797, 128.849136];['경북 경산시 진량읍 대구대로 240', '경북 경산시 진량읍 내리리 108-5'];2;[]
버거킹 대구대점;햄버거;;[35.9003749, 128.8521982];['경북 경산시 진량읍 대구대로 201 대구대학교경산캠퍼스', '경북 경산시 진량읍 내리리 15'];2;[]
커피나루;카페;경상북도 경산시 진량읍 위치, 커피 전문점.;[35.89687, 128.850708];['경북 경산시 진량읍 대구대로 252-3', '경북 경산시 진량읍 내리리 94-3'];2;[]
옛날옛적에;한식;;[35.89703, 128.846572];['경북 경산시 진량읍 대구대로 218', '경북 경산시 진량읍 내리리 451-12'];2;[]
짚신매운갈비찜 대구대점;육류,고기요리;;[35.8965737, 128.8513774];['경북 경산시 진량읍 대구대로 252-12', '경북 경산시 진량읍 내리리 94-19'];2;[]
라온카페랑;카페,디저트;;[35.9024974, 128.8331344];['경북 경산시 진량읍 상림길 34', '경북 경산시 진량읍 상림리 275-9'];2;[]
이삭토스트 대구대점;분식;;[35.896688, 128.85005];['경북 경산시 진량읍 대구대로 250', '경북 경산시 진량읍 내리리 100-3'];2;[]
한솥도시락 대구대점;도시락,컵밥;;[35.8967499, 128.8491622];['경북 경산시 진량읍 대구대로 240', '경북 경산시 진량읍 내리리 108-5'];1;[]
오덕후;한식;;[35.902655, 128.83238];['경북 경산시 진량읍 상림길 26 1층', '경북 경산시 진량읍 상림리 188-21 1층'];1;[]
치코파닭;치킨,닭강정;;[35.902613, 128.832659];['경북 경산시 진량읍 상림길 28 솔리움', '경북 경산시 진량읍 상림리 188-42'];1;[]
고래성;중식당;;[35.896689, 128.849872];['경북 경산시 진량읍 대구대로 248', '경북 경산시 진량읍 내리리 100-5'];1;[]
솥에 닭;치킨,닭강정;;[35.8967508, 128.84717];['경북 경산시 진량읍 대구대로 224', '경북 경산시 진량읍 내리리 451-19'];1;[]
파리바게뜨대구대학교점;베이커리;;[35.8994338, 128.847235];['', '경북 경산시 진량읍 경북 경산시 진량읍 내리리'];0;[]
술한잔무볼래;맥주,호프;;[35.894791, 128.852296];['경북 경산시 진량읍 대구대로 287', '경북 경산시 진량읍 평사리(平沙) 426-4'];0;[]
삼겹시대대구대점;돼지고기구이;;[35.896623, 128.850735];['경북 경산시 진량읍 대구대로 252-6', '경북 경산시 진량읍 내리리 94-13'];0;[]
비호식당;한식;;[35.905383, 128.841182];['경북 경산시 진량읍 진량내리길 19', '경북 경산시 진량읍 내리리 356-2'];0;[]
국대떡볶이대구대학교점;분식;;[35.899732, 128.843575];['경북 경산시 진량읍 대구대로 201', '경북 경산시 진량읍 내리리 15'];0;[]
조가네국밥;국밥;;[35.8952, 128.8523139];['경북 경산시 진량읍 대구대로 283', '경북 경산시 진량읍 평사리(平沙) 426-6'];0;[]
1977연탄가게대구대점;한식;;[35.8975954, 128.84584];['경북 경산시 진량읍 대구대로 208', '경북 경산시 진량읍 내리리 451-4'];0;[]
모녀식당;한식;;[35.8970674, 128.8464645];['경북 경산시 진량읍 대구대로 216', '경북 경산시 진량읍 내리리 451-11'];0;[]
촛대바위;한식;;[35.901155, 128.834];['경북 경산시 진량읍 대구대로 93', '경북 경산시 진량읍 상림리 207'];0;[]
미친파닭&술독;치킨,닭강정;;[35.8952969, 128.8523173];['경북 경산시 진량읍 대구대로 281', '경북 경산시 진량읍 평사리(平沙) 426'];0;[]
쪽쪽이족발&보쌈경산본점;족발,보쌈;;[35.901076, 128.8343282];['경북 경산시 진량읍 대구대로 95-1', '경북 경산시 진량읍 상림리 208-2'];0;[]
마포주먹구이;육류,고기요리;;[35.896608, 128.851578];['경북 경산시 진량읍 대구대로 266', '경북 경산시 진량읍 내리리 94-20'];0;[]
이모네식당;한식;;[35.902605, 128.833378];['경북 경산시 진량읍 상림길 35', '경북 경산시 진량읍 상림리 278'];0;[]
푸닭꺼리대구대점;치킨,닭강정;;[35.905176, 128.841534];['경북 경산시 진량읍 진량내리길 26', '경북 경산시 진량읍 내리리 354'];0;[]
종이밥대구대점;종합분식;;[35.8968565, 128.8502825];['경북 경산시 진량읍 대구대로 252', '경북 경산시 진량읍 내리리 94-2'];0;[]
상림떡볶이튀김;떡볶이;;[35.901362, 128.832984];['경북 경산시 진량읍 대구대로 83', '경북 경산시 진량읍 상림리 196'];0;[]
아지아해물퓨전포차;포장마차;;[35.8947365, 128.8522927];['경북 경산시 진량읍 대구대로 287', '경북 경산시 진량읍 평사리(平沙) 426-4'];0;[]
대구식당대구대점;해물,생선요리;;[35.896849, 128.851062];['경북 경산시 진량읍 대구대로 252-7', '경북 경산시 진량읍 내리리 94-4'];0;[]
고래뱃속;맥주,호프;;[35.896627, 128.85079];['경북 경산시 진량읍 대구대로 252-6', '경북 경산시 진량읍 내리리 94-13'];0;[]
유정국밥;국밥;;[35.897378, 128.846165];['경북 경산시 진량읍 대구대로 212', '경북 경산시 진량읍 내리리 451-10'];0;[]
투투두마리치킨진량점;치킨,닭강정;;[35.901626, 128.832678];['경북 경산시 진량읍 대구대로 77', '경북 경산시 진량읍 상림리 194-4'];0;[]
카페봄봄대구대점;카페;;[35.8967957, 128.8495711];['경북 경산시 진량읍 대구대로 246', '경북 경산시 진량읍 내리리 100-9'];0;[]
촌놈포차;포장마차;;[35.896845, 128.851098];['경북 경산시 진량읍 대구대로 252-7', '경북 경산시 진량읍 내리리 94-4'];0;[]
마미쿡버거&치킨;햄버거;;[35.8966346, 128.8505776];['경북 경산시 진량읍 대구대로 252-4', '경북 경산시 진량읍 내리리 94-9'];0;[]
오븐에구어바베큐치킨경산점;치킨,닭강정;;[35.901097, 128.834186];['경북 경산시 진량읍 대구대로 95', '경북 경산시 진량읍 상림리 208-10'];0;[]
사계;카페;;[35.8958395, 128.8531769];['경북 경산시 진량읍 대구대로13길 12-2', '경북 경산시 진량읍 평사리(平沙) 430-13'];0;[]
안동선계찜닭진량점;찜닭;;[35.9014667, 128.8328389];['경북 경산시 진량읍 대구대로 79', '경북 경산시 진량읍 상림리 195-2'];0;[]
나잇앤데이;카페,디저트;;[35.8969878, 128.8461376];['경북 경산시 진량읍 대구대로 214', '경북 경산시 진량읍 내리리 451-20'];0;[]
발렌타인호프;맥주,호프;;[35.90136, 128.833017];['경북 경산시 진량읍 대구대로 83', '경북 경산시 진량읍 상림리 196'];0;[]
문천지식당;한식;;[35.9025788, 128.8323037];['경북 경산시 진량읍 상림길 26-1', '경북 경산시 진량읍 상림리 188-22'];0;[]
그집떡볶이;종합분식;;[35.8940957, 128.8521936];['경북 경산시 진량읍 대구대로 294', '경북 경산시 진량읍 내리리 72-43'];0;[]
후아닝;중식당;;[35.8967513, 128.8495898];['경북 경산시 진량읍 대구대로 246', '경북 경산시 진량읍 내리리 100-9'];0;[]
먹으면좋으리순대국밥1번지;순대,순대국;;[35.8965549, 128.8512124];['경북 경산시 진량읍 대구대로 252-10', '경북 경산시 진량읍 내리리 94-17'];0;[]
통큰감자탕;감자탕;;[35.8968491, 128.8509181];['경북 경산시 진량읍 대구대로 252-5', '경북 경산시 진량읍 내리리 94-11'];0;[]
청춘감성쌀핫도그(대구대점);핫도그;;[35.90129, 128.842762];['경북 경산시 진량읍 대구대로 201', '경북 경산시 진량읍 내리리 15'];0;[]
샬로분식;종합분식;;[35.9077651, 128.8349302];['', '경북 경산시 진량읍 경북 경산시 진량읍 상림리 8-1'];0;[]
황토돈대왕;한식;;[35.9019223, 128.8324438];['경북 경산시 진량읍 대구대로 73', '경북 경산시 진량읍 상림리 194-1'];0;[]
숯불바베큐치킨백록담;한식;;[35.896869, 128.850773];['경북 경산시 진량읍 대구대로 252-3', '경북 경산시 진량읍 내리리 94-3'];0;[]
구어바베큐치킨;한식;;[35.901165, 128.8342082];['경북 경산시 진량읍 대구대로 95', '경북 경산시 진량읍 상림리 208-10'];0;[]
대구대학교8호관식당;한식;;[35.8988667, 128.8430677];['', '경북 경산시 진량읍 경북 경산시 진량읍 내리리 116-1'];0;[]
이조왕가;족발,보쌈;;[35.9017624, 128.8340255];['경북 경산시 진량읍 대구대로 93-9', '경북 경산시 진량읍 상림리 223'];0;[]
진돈까스;돈가스;;[35.9026457, 128.8315455];['경북 경산시 진량읍 상림길 16-1', '경북 경산시 진량읍 상림리 188-6'];0;[]
원영레스호프;양식;;[35.8965854, 128.8507504];['경북 경산시 진량읍 대구대로 252-6', '경북 경산시 진량읍 내리리 94-13'];0;[]
맥시칸치킨;치킨,닭강정;;[35.901169, 128.833681];['경북 경산시 진량읍 대구대로 89', '경북 경산시 진량읍 상림리 228'];0;[]
씨옌;중식당;;[35.89689, 128.850914];['경북 경산시 진량읍 대구대로 252-5', '경북 경산시 진량읍 내리리 94-11'];0;[]
훈민푸드;야식;;[35.9011504, 128.834334];['경북 경산시 진량읍 대구대로 95-1', '경북 경산시 진량읍 상림리 208-2'];0;[]
꾸어바고기뷔페;육류,고기요리;;[35.8974833, 128.8459889];['경북 경산시 진량읍 대구대로 210', '경북 경산시 진량읍 내리리 451-5'];0;[]
동인동도시락석쇠불고기;도시락,컵밥;;[35.9014727, 128.8328216];['경북 경산시 진량읍 대구대로 79', '경북 경산시 진량읍 상림리 195-2'];0;[]
투존치킨 대구대점;치킨,닭강정;;[35.8940287, 128.8435005];['', '경북 경산시 진량읍 경북 경산시 진량읍 문천리 271'];0;[]
뚜레쥬르 대구대학교점;베이커리;;[35.9016092, 128.8426909];['경북 경산시 진량읍 대구대로 201', '경북 경산시 진량읍 내리리 15'];0;[]
왕초찜닭;찜닭;;[35.896609, 128.851023];['경북 경산시 진량읍 대구대로 252-8', '경북 경산시 진량읍 내리리 94-14'];0;[]
카페 이음;카페;;[35.899419, 128.847237];['경북 경산시 진량읍 대구대로 201 대구대학교경산캠퍼스', '경북 경산시 진량읍 내리리 15'];0;[]
마사커피 대구대점;카페;;[35.8996677, 128.8436534];['경북 경산시 진량읍 대구대로 201 대구대 서문 마사커피', '경북 경산시 진량읍 내리리 산31-6'];0;[]
토마토도시락 대구대점;도시락,컵밥;;[35.8967459, 128.8495821];['경북 경산시 진량읍 대구대로 246', '경북 경산시 진량읍 내리리 100-9'];0;[]
1997연탄가게 대구대점;돼지고기구이;;[35.8974731, 128.845849];['경북 경산시 진량읍 대구대로 208', '경북 경산시 진량읍 내리리 451-4'];0;[]
국대떡볶이;한식;;[35.899419, 128.847237];['경북 경산시 진량읍 대구대로 201 대구대학교경산캠퍼스', '경북 경산시 진량읍 내리리 15'];0;[]
카페드림 대구대학교점;카페;;[35.899419, 128.847237];['경북 경산시 진량읍 대구대로 201 대구대학교경산캠퍼스', '경북 경산시 진량읍 내리리 15'];0;[]
유쾌한브라더스;한식;;[35.8968537, 128.8505727];['경북 경산시 진량읍 대구대로 252-1', '경북 경산시 진량읍 내리리 94-7'];0;[]
복길이 족발보쌈 대구대점;족발,보쌈;;[35.9019223, 128.8324438];['경북 경산시 진량읍 대구대로 73', '경북 경산시 진량읍 상림리 194-1'];0;[]
파리바게뜨 대구대학교점;베이커리;제과 전문점, 식빵, 파이, 케이크, 샌드위치 등 메뉴 안내.;[35.9031707, 128.8512366];['경북 경산시 진량읍 대구대로 201 대구대학교 본관 L층', '경북 경산시 진량읍 내리리 1-5'];0;[]
